CUST|EXTREF|ORDERID|ITEM|LOC|QTY|U_ORDER_TYPE|U_CREATION_DT|U_RGID_DT|U_CGID_DT|MAXLATEDUR|U_COMMITTED_CO_FLAG|U_ENGINEERING|U_SHUTTLE|U_SAMPLE|U_NPI|U_EXPEDITE|U_DPAS|U_SPECIAL|U_BACKLOG|LINEITEMEXTREF|FCSTSW|STATUS|OP_CONSUMEEARLY|U_PLANMODULE|DELRDD_CALC_DT|GI_DT
6200000072|1030001403|1030001403_10_0001|100000000113|1006|30|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001404|1030001404_10_0001|100000000113|1006|20|ZOR|16-08-2025|16-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001405|1030001405_10_0001|100000000113|1006|30|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001406|1030001406_10_0001|100000000113|1006|25|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001407|1030001407_10_0001|100000000113|1006|25|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001408|1030001408_10_0001|100000000113|1006|75|ZOR|24-07-2025|24-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001409|1030001409_10_0001|100000000113|1006|25|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001410|1030001410_10_0001|100000000113|1006|50|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001411|1030001411_10_0001|100000000113|1006|10|ZOR|30-08-2025|30-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001412|1030001412_10_0001|100000000113|1006|25|ZOR|27-06-2025|24-09-2025||120960|0|0|0|0|0|0|0|0|0|10|1|1|86|BY_IF||
6200000072|1030001413|1030001413_10_0001|100000000113|1006|25|ZOR|12-08-2025|12-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001414|1030001414_10_0001|100000000113|1006|20|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001415|1030001415_10_0001|100000000113|1006|45|ZOR|17-08-2025|17-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001416|1030001416_10_0001|100000000113|1006|70|ZOR|18-08-2025|18-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001417|1030001417_10_0001|100000000113|1006|70|ZOR|14-08-2025|14-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001418|1030001418_10_0001|100000000113|1006|25|ZOR|11-08-2025|11-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001419|1030001419_10_0001|100000000113|1006|50|ZOR|18-08-2025|18-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001420|1030001420_10_0001|100000000113|1006|20|ZOR|22-07-2025|22-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001421|1030001421_10_0001|100000000113|1006|25|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001422|1030001422_10_0001|100000000113|1003|45|ZOR|13-08-2025|13-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001423|1030001423_10_0001|100000000113|1003|25|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001424|1030001424_10_0001|100000000113|1003|12|ZOR|09-08-2025|09-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001425|1030001425_10_0001|100000000113|1003|20|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001426|1030001426_10_0001|100000000113|1003|20|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001427|1030001427_10_0001|100000000113|1003|25|ZOR|18-08-2025|18-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
