ITEM|SUBORD|LOC|BOMNUM|OFFSET|EFF|DISC|DRAWQTY|YIELDCAL|YIELDFACTOR|U_INTEL_BOMID|U_PLANMODULE
2000-322-146|2000-322-142|1004|460|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-322-146_1004|100||BY_IF
2000-322-142|2000-314-350|1004|459|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-322-142_1004|100||BY_IF
2000-322-142|N55628-004|1004|459|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-322-142_1004|100||BY_IF
2000-322-142|N44236-002|1004|459|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-322-142_1004|100||BY_IF
2000-322-142|A95538-012|1004|459|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-322-142_1004|100||BY_IF
2000-322-142|N41399-001|1004|459|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-322-142_1004|100||BY_IF
2000-322-142|N51852-001|1004|459|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-322-142_1004|100||BY_IF
2000-322-142|2000-309-877|1004|459|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-322-142_1004|100||BY_IF
2000-322-142|100000001001|1004|459|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-322-142_1004|100||BY_IF
2000-314-350|2000-314-348|1006|467|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-314-350_1006|100||BY_IF
2000-309-877|2000-309-879|1006|471|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-309-877_1006|100||BY_IF
N55628-004|2000-309-414|VF_S|463|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_N55628-004_1004|100||BY_IF
2000-314-348|2000-301-518|1006|468|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-314-348_1006|100||BY_IF
2000-314-348|2000-314-196|1006|468|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-314-348_1006|100||BY_IF
2000-314-348|N54418-001|1006|468|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-314-348_1006|100||BY_IF
2000-309-879|2000-313-096|1006|474|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-309-879_1006|100||BY_IF
2000-313-096|100000001003|1006|478|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-313-096_1006|100||BY_IF
2000-314-196|2000-314-192|1006|469|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-314-196_1006|100||BY_IF
2000-301-518|2001-000-003|1006|470|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-301-518_1006|100||BY_IF
2000-314-192|2001-000-002|1006|473|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-314-192_1006|100||BY_IF
2001-000-003|100000001002|1006|476|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-000-003_1006|100||BY_IF
2000-309-414|2000-309-416|1006|472|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-309-414_1006|100||BY_IF
2001-000-002|2000-314-191|1006|477|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-000-002_1006|100||BY_IF
2000-309-416|2001-000-004|1006|475|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-309-416_1006|100||BY_IF
2000-314-191|823-3030-08|1006|480|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-314-191_1006|100||BY_IF
2001-000-004|2000-309-415|1006|479|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-000-004_1006|100||BY_IF
2000-309-415|823-3074-82|1006|481|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-309-415_1006|100||BY_IF
100000000008|2000-288-671|1003|9002|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000008_1003_9002|100||BY_IF
100000000008|2000-288-671|1006|9001|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000008_1006_9001|100||BY_IF
N44236-002|DUMMY_IHS|VF_S|9003|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_N44236-002_VF_S|100||BY_IF
