ITEM|LOC|SEQNUM|SCHEDDATE|STARTDATE|QTY|PRODUCTIONMETHOD|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
2000-293-667|1006|6674|22-MAR-2026|21-MAR-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6673|15-MAR-2026|14-MAR-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6672|08-MAR-2026|07-MAR-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6671|01-MAR-2026|28-FEB-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6670|22-FEB-2026|21-FEB-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6669|15-FEB-2026|14-FEB-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6668|08-FEB-2026|07-FEB-2026|52.919231|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6667|31-AUG-2025|30-AUG-2025|10.30689|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6666|24-AUG-2025|23-AUG-2025|108.222298|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6665|17-AUG-2025|16-AUG-2025|300.96109|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6664|10-AUG-2025|09-AUG-2025|623.566711|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6663|27-JUL-2025|26-JUL-2025|386.508301|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7053|20-JUN-2027|19-JUN-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7052|13-JUN-2027|12-JUN-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7051|06-JUN-2027|05-JUN-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7050|30-MAY-2027|29-MAY-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7049|23-MAY-2027|22-MAY-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7048|16-MAY-2027|15-MAY-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7047|09-MAY-2027|08-MAY-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7046|02-MAY-2027|01-MAY-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7045|25-APR-2027|24-APR-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7044|18-APR-2027|17-APR-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7043|11-APR-2027|10-APR-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7042|04-APR-2027|03-APR-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7041|28-MAR-2027|27-MAR-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7040|21-MAR-2027|20-MAR-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-669|1006|7039|14-MAR-2027|13-MAR-2027|76.142128|2000-293-669_1006_423|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
